codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca
5402002,DGA,dga_web,Canal Chacabuco En Bocatoma,0,-32.9167,-70.3333,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5402015,DGA,dga_web,Rio Blanco Antes Junta Rio De Los Leones,0,-32.98,-70.2547,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5403002,DGA,dga_web,Rio Aconcagua En Rio Blanco,1420,-32.9067,-70.3036,54.0,Rio Aconcagua,540.0,Aconcagua Alto
5403003,DGA,dga_web,Rio Aconcagua En Los Quilos,1062,-32.8667,-70.4167,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5403006,DGA,dga_web,Riecillos,1290,-32.9228,-70.3553,54.0,Rio Aconcagua,540.0,Aconcagua Alto
5404001,DGA,dga_web,Canal Colorado En Bocatoma,1391,-32.8347,-70.3533,54.0,Rio Aconcagua,540.0,Aconcagua Alto
5405001,DGA,dga_web,Rio Los Riecillos Antes Junta Rio Colorado,0,-32.75,-70.3167,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5406001,DGA,dga_web,Rio Colorado En Colorado,1062,-32.8572,-70.4122,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5406002,DGA,dga_web,Rio Colorado Antes Junta Rio Aconcagua,0,-32.8556,-70.4092,54.0,Rio Aconcagua,540.0,Rio Aconcagua Alto (Rio Colorado Y E. Riecillos)
5410001,DGA,dga_web,Rio Aconcagua En Vizcachas,930,-32.85,-70.5,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5410002,DGA,dga_web,Rio Aconcagua En Chacabuquito,950,-32.8503,-70.5094,54.0,Rio Aconcagua,541.0,Aconcagua Medio
5410003,DGA,dga_web,Canal Parry 2 Despues Bt Aconcagua,630,-32.75,-70.7333,54.0,Rio Aconcagua,541.0,Rio Aconcagua Medio (Entre Rio Colorado Y E Seco)
5410005,DGA,dga_web,Rio Aconcagua En San Felipe,650,-32.7572,-70.7367,54.0,Rio Aconcagua,541.0,Aconcagua Medio
