codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_cuenca,codigo_sub_cuenca,nombre_sub_cuenca,pais,region
450005,DMC,dmc_merge,Balmaceda Ad.,517,-45.9128,-71.6942,113.0,Rio Aisen,1131.0,Rio Simpson,Chile,Región Aysén del General Carlos Ibáñez del Campo
4501001,DGA,dga_web,Rio Hurtado En San Agustin,2035,-30.4622,-70.5361,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4501002,DGA,dga_web,Rio Hurtado En Las Breas,1645,-30.3833,-70.6,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4501003,DGA,dga_web,Pabellon,1920,-30.4111,-70.5544,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4501004,DGA,dga_web,Las Breas,1600,-30.3694,-70.6131,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4502001,DGA,dga_web,Rio Hurtado En La Cortadera,900,-30.3333,-70.7667,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4502002,DGA,dga_web,Rio Hurtado En Hurtado,0,-30.2833,-70.7,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4502003,DGA,dga_web,Estancia Chacay,1380,-30.4453,-70.7114,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4502004,DGA,dga_web,La Cortadera,920,-30.3503,-70.77,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4502005,DGA,dga_web,Hurtado,1100,-30.2867,-70.6961,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4503001,DGA,dga_web,Rio Hurtado En Angostura De Pangue,485,-30.4386,-71.0022,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4503002,DGA,dga_web,Samo Alto,600,-30.4094,-70.9386,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4503003,DGA,dga_web,Pichasca,725,-30.3922,-70.8678,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506002,DGA,dga_web,Rio Hurtado En Entrada Embalse Recoleta,410,-30.4772,-71.0692,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506003,DGA,dga_web,Canal Tuqui En Salida Embalse Recoleta,380,-30.4961,-71.0931,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506004,DGA,dga_web,Canal Alimentador Recoleta Entrada Embalse,400,-30.5,-71.0667,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506005,DGA,dga_web,Canal Alimentador Recoleta En Bocatoma,450,-30.7,-70.9,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506006,DGA,dga_web,Bocatoma Canal Alimentador,450,-30.4806,-71.0667,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4506007,DGA,dga_web,Recoleta Embalse,350,-30.5069,-71.0997,45.0,Rio Limari,450.0,Rio Hurtado,Chile,Región de Coquimbo
4511001,DGA,dga_web,Rio Grande En Las Pegas,1512,-30.95,-70.5167,45.0,Rio Limari,451.0,Rio Grande Alto (Hasta Arriba Junta Rio Rapel),Chile,Región de Coquimbo
